timestamp,closescaled,OBVscaled,Y_value,RSI
2022-01-28,0.494182791,0.5194228292,0.0,0.4992953467758421
2022-01-27,0.4818639955,0.5081603085,0.494182791,0.44196234599678563
2022-01-26,0.4926896037,0.5194806064,0.4818639955,0.4216263531440583
2022-01-25,0.5041373732,0.5366393990999999,0.4926896037,0.4627196395577934
2022-01-24,0.45884402409999997,0.4960566377,0.5041373732,0.2702865531409552
2022-01-21,0.4621414795,0.5244165264,0.45884402409999997,0.378044413217525
2022-01-20,0.4712872519,0.5365753829,0.4621414795,0.4072013490298353
2022-01-19,0.47601567850000004,0.5474401119,0.4712872519,0.44757609305153523
2022-01-18,0.4844770734,0.5558775590999999,0.47601567850000004,0.5134057940501398
2022-01-14,0.49237852299999996,0.5666558642,0.4844770734,0.5892271545307466
2022-01-13,0.4958004106,0.5775865876,0.49237852299999996,0.6364622097190646
2022-01-12,0.4885211224,0.5675655857,0.4958004106,0.6302075536696394
2022-01-11,0.4840415604,0.5565490086,0.4885211224,0.6322221725186157
2022-01-10,0.4974802464,0.5793585537,0.4840415604,0.7688229308065088
2022-01-07,0.4962359236,0.5681756724,0.4974802464,0.7481240357298935
2022-01-06,0.4994089467,0.578957767,0.4962359236,0.7947213314901905
2022-01-05,0.5173271947,0.5993525452,0.4994089467,0.963907395352531
2022-01-04,0.5160828719,0.5809156559,0.5173271947,0.9244017294346395
2022-01-03,0.5037640764,0.5658893249,0.5160828719,0.9214102964718377
2021-12-31,0.4889566354,0.5563987394,0.5037640764,0.8153453545027977
2021-12-30,0.49051203880000005,0.5632229744,0.4889566354,0.8343087551028159
2021-12-29,0.487027935,0.5567223237,0.49051203880000005,0.8346787352316876
2021-12-28,0.482548373,0.5479948482,0.487027935,0.8429690474795498
2021-12-27,0.476264543,0.5408993863,0.482548373,0.8502871730205738
2021-12-23,0.4701051453,0.5320595964,0.476264543,0.8518603979350713
2021-12-22,0.46463012509999996,0.52454841,0.4701051453,0.861856703501275
2021-12-21,0.4597772662,0.5164729055,0.46463012509999996,0.8548131973923395
2021-12-20,0.4478939837,0.5064773805,0.4597772662,0.827075112346736
2021-12-17,0.4500093324,0.516648773,0.4478939837,0.7711270253940476
2021-12-16,0.44086356,0.4952770543,0.4500093324,0.789147280686473
2021-12-15,0.42331860880000005,0.4802908085,0.44086356,0.7052662318876253
2021-12-14,0.4273626579,0.49056227420000004,0.42331860880000005,0.7315818064747311
2021-12-13,0.4200211535,0.4787962136,0.4273626579,0.7162091897134046
2021-12-10,0.42941579049999995,0.4928910309,0.4200211535,0.803536369472083
2021-12-09,0.4261805512,0.4826671286,0.42941579049999995,0.7588726153155866
2021-12-08,0.4227586636,0.47319624810000005,0.4261805512,0.6748760116082396
2021-12-07,0.4137995396,0.46190809829999996,0.4227586636,0.6199029269552527
2021-12-06,0.4034094444,0.4512167955,0.4137995396,0.5463384653618288
2021-12-03,0.39675231759999996,0.4413662064,0.4034094444,0.4978569739880525
2021-12-02,0.3846823866,0.42771873880000005,0.39675231759999996,0.33987617837346573
2021-12-01,0.3848068189,0.4385606299,0.3846823866,0.3436862053819336
2021-11-30,0.38592670939999996,0.4508284107,0.3848068189,0.32980224751529374
2021-11-29,0.39463696880000004,0.4698741557,0.38592670939999996,0.27580571305010204
2021-11-26,0.3779008275,0.4514519119,0.39463696880000004,0.1536560576214202
2021-11-24,0.38362471229999995,0.4582899361,0.3779008275,0.34373230177096004
2021-11-23,0.3839980091,0.46491962979999996,0.38362471229999995,0.23666919604975645
2021-11-22,0.3820070926,0.4548026119,0.3839980091,0.25923683624272265
2021-11-19,0.37939401479999996,0.4415934206,0.3820070926,0.24107326425962416
2021-11-18,0.3831891993,0.4526769657,0.37939401479999996,0.29269103531232066
2021-11-17,0.3918994587,0.4630675118,0.3831891993,0.3038265000030206
2021-11-16,0.3943881043,0.4713902114,0.3918994587,0.33369619472602197
2021-11-15,0.396938966,0.4811691682,0.3943881043,0.3103507284264576
2021-11-12,0.39749891119999997,0.4915565074,0.396938966,0.30458373232222546
2021-11-11,0.4056492254,0.5026244456,0.39749891119999997,0.32119618778803205
2021-11-10,0.4053381447,0.4930667728,0.4056492254,0.31283072092684305
2021-11-09,0.4092577615,0.5059707921,0.4053381447,0.20353732086678789
2021-11-08,0.4322155167,0.5207819012,0.4092577615,0.22928819224576247
2021-11-05,0.4264294158,0.5092028439999999,0.4322155167,0.20103229522504018
2021-11-04,0.4092577615,0.49522533490000004,0.4264294158,0.1025464969481722
2021-11-03,0.4483294967,0.5100637856,0.4092577615,0.17442358461186946
2021-11-02,0.44241896350000004,0.4989043722,0.4483294967,0.22344597077326378
2021-11-01,0.4430411249,0.5081597404,0.44241896350000004,0.2328578322455015
2021-10-29,0.4356996205,0.4960671293,0.4430411249,0.1788928126618864
2021-10-28,0.44030361479999996,0.5082462384,0.4356996205,0.1792304855532738
2021-10-27,0.4361351335,0.49486046729999994,0.44030361479999996,0.19828771050995186
2021-10-26,0.4483294967,0.5092145686999999,0.4361351335,0.2105956827657529
2021-10-25,0.45150251979999995,0.5267539181,0.4483294967,0.2088864724017414
2021-10-22,0.45299570710000003,0.5398742277,0.45150251979999995,0.20369289755483388
2021-10-21,0.4557954333,0.5637149995,0.45299570710000003,0.22993911236905873
2021-10-20,0.5402227338000001,0.6284856528,0.4557954333,0.5851164867365967
2021-10-19,0.5407204629,0.6412256054,0.5402227338000001,0.5796375373798733
2021-10-18,0.5428358115999999,0.6501581241,0.5407204629,0.6263104050928201
