timestamp,open,high,low,close,volume,OBV,closescaled,OBVscaled
2022-01-28,133.19,134.53,131.79,134.5,5471497,1004602994,0.494182791,0.5194228292
2022-01-27,133.66,134.75,132.08,132.52,5499566,999131497,0.4818639955,0.5081603085
2022-01-26,136.47,137.07,133.13,134.26,8335992,1004631063,0.4926896037,0.5194806064
2022-01-25,129.14,137.3361,128.3,136.1,19715698,1012967055,0.5041373732,0.5366393991
2022-01-24,127.99,129.15,124.193,128.82,13777648,993251357,0.4588440241,0.4960566377
2022-01-21,131.65,131.87,129.27,129.35,5906950,1007029005,0.4621414795,0.5244165264
2022-01-20,131.26,132.88,130.5705,130.82,5278244,1012935955,0.4712872519,0.5365753829
2022-01-19,132.9,133.9,131.5,131.58,4099035,1018214199,0.4760156785,0.5474401119
2022-01-18,132.95,133.89,131.78,132.94,5236258,1022313234,0.4844770734,0.5558775591
2022-01-14,134.55,135.14,133.3,134.21,5310305,1027549492,0.492378523,0.5666558642
2022-01-13,133.9,136.05,133.56,134.76,4868349,1032859797,0.4958004106,0.5775865876
2022-01-12,133.25,134.47,131.37,133.59,5352014,1027991448,0.4885211224,0.5675655857
2022-01-11,130.52,133.25,127.97,132.87,11081210,1022639434,0.4840415604,0.5565490086
2022-01-10,134.47,136.2,133.38,135.03,5432807,1033720644,0.4974802464,0.5793585537
2022-01-07,134.9,135.6618,133.5111,134.83,5238099,1028287837,0.4962359236,0.5681756724
2022-01-06,138.2,138.4099,132.51,135.34,9908081,1033525936,0.4994089467,0.578957767
2022-01-05,138.31,142.2,137.88,138.22,8956910,1043434017,0.5173271947,0.5993525452
2022-01-04,136.1,139.95,135.9,138.02,7300011,1034477107,0.5160828719,0.5809156559
2022-01-03,134.07,136.295,133.63,136.04,4610665,1027177096,0.5037640764,0.5658893249
2021-12-31,134,134.99,133.61,133.66,3315313,1022566431,0.4889566354,0.5563987394
2021-12-30,133.75,134.37,133.33,133.91,3158111,1025881744,0.4905120388,0.5632229744
